condition,perturbation_type,noise_std,mask_rate,rmse,mae,r2,mean_error,median_error,rmse_increase,rmse_increase_pct,mae_increase,mae_increase_pct
baseline,none,0.0,,12.0657,8.9406,0.9168,-2.2779,-1.7065,0.0,0.0,0.0,0.0
sensor_sequence_noise_0.05,sensor_sequence_noise,0.05,,12.0704,8.9392,0.9168,-2.2883,-1.7251,0.004699999999999704,0.04,-0.00140000000000029,-0.02
sensor_sequence_noise_0.1,sensor_sequence_noise,0.1,,12.0864,8.9483,0.9165,-2.2949,-1.7231,0.02069999999999972,0.17,0.007699999999999818,0.09
derived_feature_noise_0.05,derived_feature_noise,0.05,,12.092,8.965,0.9165,-2.2338,-1.6353,0.026300000000000878,0.22,0.024399999999999977,0.27
sensor_sequence_noise_0.2,sensor_sequence_noise,0.2,,12.1026,8.9582,0.9163,-2.3268,-1.7326,0.03690000000000104,0.31,0.017599999999999838,0.2
combined_noise_0.05,combined_noise,0.05,,12.1037,8.9412,0.9163,-2.2539,-1.6124,0.038000000000000256,0.31,0.000600000000000378,0.01
sensor_sequence_random_mask_0.1,sensor_sequence_random_masking,,0.1,12.1588,9.0857,0.9155,-1.8414,-1.0601,0.09309999999999974,0.77,0.14509999999999934,1.62
derived_feature_noise_0.1,derived_feature_noise,0.1,,12.1701,9.0166,0.9154,-2.113,-1.6023,0.10440000000000005,0.87,0.07600000000000051,0.85
combined_noise_0.1,combined_noise,0.1,,12.2123,8.9921,0.9148,-2.153,-1.4909,0.14660000000000117,1.22,0.05150000000000077,0.58
sensor_sequence_random_mask_0.2,sensor_sequence_random_masking,,0.2,12.3469,9.3735,0.9129,-1.4001,-0.3618,0.2812000000000001,2.33,0.43290000000000006,4.84
derived_feature_noise_0.2,derived_feature_noise,0.2,,12.5102,9.211,0.9106,-1.6484,-1.1467,0.4444999999999997,3.68,0.2704000000000004,3.02
sensor_sequence_random_mask_0.3,sensor_sequence_random_masking,,0.3,12.5428,9.7108,0.9101,-0.9688,0.0,0.4771000000000001,3.95,0.7702000000000009,8.61
combined_noise_0.2,combined_noise,0.2,,12.5906,9.1948,0.9094,-1.7404,-1.0735,0.5249000000000006,4.35,0.25420000000000087,2.84
derived_feature_random_mask_0.1,derived_feature_random_masking,,0.1,13.309,10.3487,0.8988,-3.1114,-2.6334,1.2432999999999996,10.3,1.4080999999999992,15.75
combined_random_mask_0.1,combined_random_masking,,0.1,13.7275,10.7242,0.8923,-2.6379,-1.8171,1.6617999999999995,13.77,1.7835999999999999,19.95
derived_feature_random_mask_0.2,derived_feature_random_masking,,0.2,15.355,12.3042,0.8653,-4.1454,-3.7743,3.289300000000001,27.26,3.3636,37.62
sensor_sequence_masked,view_masking,,,15.5505,12.6154,0.8618,,,3.4848,28.88,3.6747999999999994,41.1
combined_random_mask_0.2,combined_random_masking,,0.2,16.184,13.1388,0.8504,-3.3444,-2.7943,4.118300000000001,34.13,4.1982,46.96
derived_feature_random_mask_0.3,derived_feature_random_masking,,0.3,17.7557,14.4966,0.8199,-5.2187,-4.8696,5.690000000000001,47.16,5.556000000000001,62.14
combined_random_mask_0.3,combined_random_masking,,0.3,19.0455,15.8509,0.7928,-4.0875,-4.3462,6.979800000000001,57.85,6.910299999999999,77.29
derived_view_masked,view_masking,,,42.5692,36.1661,-0.0354,,,30.503500000000003,252.81,27.2255,304.52
